,player_name,position,club,nationality,age,current_price,percentage,difference
0,Désiré Doué,Right Winger,Paris Saint-Germain,France,20,€90.00m  ,125.0 %,+€50.00m
1,Alexander Isak,Centre-Forward,Newcastle United,Sweden,25,€120.00m  ,60.0 %,+€45.00m
2,Dean Huijsen,Centre-Back,Real Madrid,Spain,20,€60.00m  ,233.3 %,+€42.00m
3,Pedri,Central Midfield,FC Barcelona,Spain,22,€140.00m  ,40.0 %,+€40.00m
4,Michael Olise,Right Winger,Bayern Munich,France,23,€100.00m  ,53.8 %,+€35.00m
5,Ousmane Dembélé,Right Winger,Paris Saint-Germain,France,28,€90.00m  ,63.6 %,+€35.00m
6,Hugo Ekitiké,Centre-Forward,Eintracht Frankfurt,France,23,€75.00m  ,87.5 %,+€35.00m
7,Myles Lewis-Skelly,Left-Back,Arsenal FC,England,18,€45.00m  ,350.0 %,+€35.00m
8,Raúl Asencio,Centre-Back,Real Madrid,Spain,22,€40.00m  ,433.3 %,+€32.50m
9,Rodrigo Mora,Attacking Midfield,FC Porto,Portugal,18,€40.00m  ,300.0 %,+€30.00m
10,Jesús Rodríguez,Left Winger,Como 1907,Spain,19,€30.00m  ,2900.0 %,+€29.00m
11,Lucas Bergvall,Central Midfield,Tottenham Hotspur,Sweden,19,€38.00m  ,216.7 %,+€26.00m
12,Vitinha,Central Midfield,Paris Saint-Germain,Portugal,25,€80.00m  ,45.5 %,+€25.00m
13,Willian Pacho,Centre-Back,Paris Saint-Germain,Ecuador,23,€65.00m  ,62.5 %,+€25.00m
14,Ethan Nwaneri,Right Winger,Arsenal FC,England,18,€55.00m  ,83.3 %,+€25.00m
15,Giuliano Simeone,Right Winger,Atlético de Madrid,Argentina,22,€35.00m  ,191.7 %,+€23.00m
16,Abdukodir Khusanov,Centre-Back,Manchester City,Uzbekistan,21,€35.00m  ,191.7 %,+€23.00m
17,Nick Woltemade,Second Striker,VfB Stuttgart,Germany,23,€30.00m  ,300.0 %,+€22.50m
18,Sandro Tonali,Central Midfield,Newcastle United,Italy,25,€60.00m  ,57.9 %,+€22.00m
19,Nico González,Central Midfield,Manchester City,Spain,23,€40.00m  ,122.2 %,+€22.00m
20,Ardon Jashari,Defensive Midfield,Club Brugge KV,Switzerland,22,€32.00m  ,190.9 %,+€21.00m
21,Assane Diao,Right Winger,Como 1907,Senegal,19,€30.00m  ,233.3 %,+€21.00m
22,Lamine Yamal,Right Winger,FC Barcelona,Spain,17,€200.00m  ,11.1 %,+€20.00m
23,Kylian Mbappé,Centre-Forward,Real Madrid,France,26,€180.00m  ,12.5 %,+€20.00m
24,Alexis Mac Allister,Central Midfield,Liverpool FC,Argentina,26,€100.00m  ,25.0 %,+€20.00m
25,Julián Alvarez,Centre-Forward,Atlético de Madrid,Argentina,25,€100.00m  ,25.0 %,+€20.00m
26,Achraf Hakimi,Right-Back,Paris Saint-Germain,Morocco,26,€80.00m  ,33.3 %,+€20.00m
27,João Neves,Defensive Midfield,Paris Saint-Germain,Portugal,20,€80.00m  ,33.3 %,+€20.00m
28,Ryan Gravenberch,Defensive Midfield,Liverpool FC,Netherlands,23,€75.00m  ,36.4 %,+€20.00m
29,Benjamin Sesko,Centre-Forward,RB Leipzig,Slovenia,22,€70.00m  ,40.0 %,+€20.00m
30,Moise Kean,Centre-Forward,ACF Fiorentina,Italy,25,€50.00m  ,66.7 %,+€20.00m
31,Amad Diallo,Right Winger,Manchester United,Cote d'Ivoire,22,€45.00m  ,80.0 %,+€20.00m
32,Mikel Jauregizar,Central Midfield,Athletic Bilbao,Spain,21,€30.00m  ,200.0 %,+€20.00m
33,Igor Paixão,Left Winger,Feyenoord Rotterdam,Brazil,25,€35.00m  ,105.9 %,+€18.00m
34,Tom Bischof,Central Midfield,Bayern Munich,Germany,20,€30.00m  ,150.0 %,+€18.00m
35,Nico O'Reilly,Attacking Midfield,Manchester City,England,20,€18.00m  ,-,+€18.00m
36,Milos Kerkez,Left-Back,Liverpool FC,Hungary,21,€45.00m  ,60.7 %,+€17.00m
37,Anthony Elanga,Right Winger,Nottingham Forest,Sweden,23,€42.00m  ,68.0 %,+€17.00m
38,Álvaro Carreras,Left-Back,SL Benfica,Spain,22,€35.00m  ,94.4 %,+€17.00m
39,Mika Biereth,Centre-Forward,AS Monaco,Denmark,22,€30.00m  ,130.8 %,+€17.00m
40,Paul Nebel,Attacking Midfield,1.FSV Mainz 05,Germany,22,€24.00m  ,242.9 %,+€17.00m
41,Vitor Reis,Centre-Back,Manchester City,Brazil,19,€30.00m  ,114.3 %,+€16.00m
42,Omar Marmoush,Centre-Forward,Manchester City,Egypt,26,€75.00m  ,25.0 %,+€15.00m
43,Nuno Mendes,Left-Back,Paris Saint-Germain,Portugal,23,€70.00m  ,27.3 %,+€15.00m
44,Morgan Rogers,Attacking Midfield,Aston Villa,England,22,€55.00m  ,37.5 %,+€15.00m
45,Rayan Cherki,Right Winger,Manchester City,France,21,€45.00m  ,50.0 %,+€15.00m
46,Geovany Quenda,Left Winger,Sporting CP,Portugal,18,€45.00m  ,50.0 %,+€15.00m
47,Liam Delap,Centre-Forward,Chelsea FC,England,22,€40.00m  ,60.0 %,+€15.00m
48,Denzel Dumfries,Right-Back,Inter Milan,Netherlands,29,€35.00m  ,75.0 %,+€15.00m
49,Antony,Right Winger,Manchester United,Brazil,25,€35.00m  ,75.0 %,+€15.00m
50,Nico Paz,Attacking Midfield,Como 1907,Argentina,20,€35.00m  ,75.0 %,+€15.00m
51,Franco Mastantuono,Right Winger,CA River Plate,Argentina,17,€30.00m  ,100.0 %,+€15.00m
52,Joan García,Goalkeeper,FC Barcelona,Spain,24,€25.00m  ,150.0 %,+€15.00m
53,Renato Veiga,Centre-Back,Chelsea FC,Portugal,21,€25.00m  ,150.0 %,+€15.00m
54,Pio Esposito,Centre-Forward,Inter Milan,Italy,20,€25.00m  ,150.0 %,+€15.00m
55,Chrislain Matsima,Centre-Back,FC Augsburg,France,23,€22.00m  ,214.3 %,+€15.00m
56,Finn Jeltsch,Centre-Back,VfB Stuttgart,Germany,18,€20.00m  ,300.0 %,+€15.00m
57,CJ Egan-Riley,Centre-Back,Olympique Marseille,England,22,€16.00m  ,966.7 %,+€14.50m
58,Manu Koné,Central Midfield,AS Roma,France,24,€40.00m  ,53.8 %,+€14.00m
59,Nathaniel Brown,Left-Back,Eintracht Frankfurt,Germany,22,€22.00m  ,175.0 %,+€14.00m
60,Giovanni Leoni,Centre-Back,Parma Calcio 1913,Italy,18,€18.00m  ,300.0 %,+€13.50m
61,Angelo Stiller,Defensive Midfield,VfB Stuttgart,Germany,24,€45.00m  ,40.6 %,+€13.00m
62,Adam Wharton,Defensive Midfield,Crystal Palace,England,21,€45.00m  ,40.6 %,+€13.00m
63,Archie Gray,Defensive Midfield,Tottenham Hotspur,England,19,€38.00m  ,52.0 %,+€13.00m
64,Justin Kluivert,Attacking Midfield,AFC Bournemouth,Netherlands,26,€35.00m  ,59.1 %,+€13.00m
65,Mikkel Damsgaard,Attacking Midfield,Brentford FC,Denmark,25,€28.00m  ,86.7 %,+€13.00m
66,Kaishu Sano,Defensive Midfield,1.FSV Mainz 05,Japan,24,€20.00m  ,185.7 %,+€13.00m
67,Konstantinos Karetsas,Attacking Midfield,KRC Genk,Greece,17,€20.00m  ,185.7 %,+€13.00m
68,Lucas Stassin,Centre-Forward,AS Saint-Étienne,Belgium,20,€18.00m  ,260.0 %,+€13.00m
69,Yeremay Hernández,Left Winger,Deportivo de La Coruña,Spain,22,€15.00m  ,650.0 %,+€13.00m
70,Ferran Torres,Centre-Forward,FC Barcelona,Spain,25,€40.00m  ,42.9 %,+€12.00m
71,Antoine Semenyo,Left Winger,AFC Bournemouth,Ghana,25,€40.00m  ,42.9 %,+€12.00m
72,Vangelis Pavlidis,Centre-Forward,SL Benfica,Greece,26,€35.00m  ,52.2 %,+€12.00m
73,Kenneth Taylor,Central Midfield,Ajax Amsterdam,Netherlands,23,€28.00m  ,75.0 %,+€12.00m
74,Trevoh Chalobah,Centre-Back,Chelsea FC,England,26,€25.00m  ,92.3 %,+€12.00m
75,Stefanos Tzimas,Centre-Forward,Brighton & Hove Albion,Greece,19,€22.00m  ,120.0 %,+€12.00m
76,Angeliño,Left-Back,AS Roma,Spain,28,€20.00m  ,150.0 %,+€12.00m
77,Djed Spence,Left-Back,Tottenham Hotspur,England,24,€20.00m  ,150.0 %,+€12.00m
78,Dário Essugo,Defensive Midfield,Chelsea FC,Portugal,20,€20.00m  ,150.0 %,+€12.00m
79,Mamadou Sarr,Centre-Back,Chelsea FC,France,19,€20.00m  ,150.0 %,+€12.00m
80,Diego Moreira,Left Midfield,RC Strasbourg Alsace,Belgium,20,€18.00m  ,200.0 %,+€12.00m
81,Givairo Read,Right-Back,Feyenoord Rotterdam,Netherlands,19,€16.00m  ,300.0 %,+€12.00m
82,Omar El Hilali,Right-Back,RCD Espanyol Barcelona,Morocco,21,€15.00m  ,400.0 %,+€12.00m
83,Yusuf Akçiçek,Centre-Back,Fenerbahce,Türkiye,19,€12.00m  ,7900.0 %,+€11.85m
84,Mile Svilar,Goalkeeper,AS Roma,Serbia,25,€25.00m  ,78.6 %,+€11.00m
85,Zion Suzuki,Goalkeeper,Parma Calcio 1913,Japan,22,€20.00m  ,122.2 %,+€11.00m
86,Wesley,Right-Back,CR Flamengo,Brazil,21,€20.00m  ,122.2 %,+€11.00m
87,Eliezer Mayenda,Centre-Forward,Sunderland AFC,Spain,20,€12.00m  ,1100.0 %,+€11.00m
88,Declan Rice,Central Midfield,Arsenal FC,England,26,€120.00m  ,9.1 %,+€10.00m
89,Raphinha,Left Winger,FC Barcelona,Brazil,28,€90.00m  ,12.5 %,+€10.00m
90,Moisés Caicedo,Defensive Midfield,Chelsea FC,Ecuador,23,€90.00m  ,12.5 %,+€10.00m
91,Pau Cubarsí,Centre-Back,FC Barcelona,Spain,18,€80.00m  ,14.3 %,+€10.00m
92,Cody Gakpo,Left Winger,Liverpool FC,Netherlands,26,€70.00m  ,16.7 %,+€10.00m
93,Ibrahima Konaté,Centre-Back,Liverpool FC,France,26,€60.00m  ,20.0 %,+€10.00m
94,Tijjani Reijnders,Central Midfield,Manchester City,Netherlands,26,€60.00m  ,20.0 %,+€10.00m
95,Matheus Cunha,Second Striker,Manchester United,Brazil,26,€60.00m  ,20.0 %,+€10.00m
96,Oihan Sancet,Attacking Midfield,Athletic Bilbao,Spain,25,€60.00m  ,20.0 %,+€10.00m
97,Alejandro Balde,Left-Back,FC Barcelona,Spain,21,€60.00m  ,20.0 %,+€10.00m
98,Estêvão,Right Winger,Sociedade Esportiva Palmeiras,Brazil,18,€60.00m  ,20.0 %,+€10.00m
99,Jurrien Timber,Right-Back,Arsenal FC,Netherlands,24,€55.00m  ,22.2 %,+€10.00m
